Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2002,168148,Tufts University,9432,0,49,148
2003,168148,Tufts University,9509,0,47,236
2004,168148,Tufts University,9690,0,77,275
2005,168148,Tufts University,9776,0,66,305
2006,168148,Tufts University,9638,0,63,292
2007,168148,Tufts University,9758,0,71,163
2008,168148,Tufts University,10030,0,59,154
2009,168148,Tufts University,10252,0,23,103
2010,168148,Tufts University,10480,0,4,91
2011,168148,Tufts University,10777,0,2,71
2012,168148,Tufts University,10837,0,3,97
2013,168148,Tufts University,10872,0,2,49
2014,168148,Tufts University,10907,0,1,81
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
